职称 地区 公司资质 要求 薪资 福利
Python后端工程师 上海 "上市公司 " " 本科  3-4年" 1.5-2万/月 " 五险一金 交通补贴 餐饮补贴 专业培训 "
Python开发工程师 上海-徐汇区 "民营公司 " " 本科  3-4年" 1.5-2万/月 " 五险一金 地铁周边 发展空间大 "
Python开发工程师 深圳 "外资（欧美） " " 大专  1年" 2-3万/月 " 五险一金 定期体检 弹性工作 补充医疗保险 "
Python后端开发工程师 上海-静安区 "民营公司 " " 本科  5-7年" 2-2.5万/月 " "
医疗器械软件主管/Python软件开发/高级软件研发工程师 上海-闵行区 "民营公司 " " 本科  5-7年" 2-2.5万/月 " 员工旅游 餐饮补贴 周末双休 五险一金 "
"Python web开发工程师(J10326)" 广州-黄埔区 "国企 " " 本科  3-4年" 0.8-1万/月 " 周末双休 免费班车 节日福利 专业培训 "
风险管理部-系统开发岗（Python开发）G00732 上海-浦东新区 "国企 " " 本科  3-4年" 1.5-3万/月 " 五险一金 绩效奖金 餐补 通讯补贴 "
Python开发工程师 上海-黄浦区 "外资（非欧美） " " 本科  1年" 0.8-1万/月 " 年终奖金 发展空间大 公司规模大 "
python 上海-闵行区 "民营公司 " " 大专  3-4年" 2-2.5万/月 " 五险一金 员工旅游 专业培训 绩效奖金 "
Python工程师 上海-黄浦区 "民营公司 " " 本科  1年" 1.5-2万/月 " "
后台python工程师 深圳-南山区 "民营公司 " " 本科  5-7年" 2-2.5万/月 " 带薪年假 节日福利 弹性工作 五险一金 "
Python开发工程师 上海-杨浦区 "民营公司 " " 大专  2年" 1.5-3万/月 " 做五休二 周末双休 五险一金 绩效奖金 "
Python开发工程师 上海-嘉定区 "外资（欧美） " " 大专  2年" 1.5-2万/月 " 五险一金 交通补贴 餐饮补贴 通讯补贴 "
Python开发工程师 上海-浦东新区 "民营公司 " " 本科  3-4年" 2-4万/月 " "
后端python开发（英语好）上海/西安 上海-浦东新区 "外资（欧美） " " 本科  2年" 2-4万/月 " 通讯补贴 免费班车 年终奖金 五险一金 "
Python后台开发工程师 上海-松江区 "民营公司 " " 本科  2年" 2-2.5万/月 " 五险一金 带薪年假 生日慰问 免费工作餐 "
Python高级开发工程师 深圳-南山区 "民营公司 " " 本科  5-7年" 2-3千/月 " 五险一金 专业培训 绩效奖金 年终奖金 "
python初级工程师 上海-浦东新区 "民营公司 " " 本科  1年" 1.5-2.3万/月 " "
高级软件开发工程师（Python） 上海-闵行区 "上市公司 " " 本科  5-7年"  " 五险一金 员工旅游 餐饮补贴 通讯补贴 "
对日Python软件开发工程师 广州-天河区 "民营公司 " " 大专  2年" 2-4万/月 " "
python后端 广州-天河区 "民营公司 " " 高中  3-4年" 1.5-2.5万/月 " "
"高级Python开发工程师 (MJ000571)" 上海-杨浦区 "上市公司 " " 本科  5-7年" 2.5-3.5万/月 " 五险一金 通讯补贴 年终奖金 弹性工作 "
高级量化交易系统开发工程师（Python） 上海-浦东新区 "民营公司 " " 本科  3-4年" 3-3.5万/月 " 做五休二 带薪年假 五险一金 绩效奖金 "
Python开发工程师 北京 "民营公司 " " 本科  1年" 1.5-2万/月 " 五险一金 绩效奖金 年终奖金 "
Python开发工程师 广州-黄埔区 "民营公司 " " 本科  3-4年" 2-2.5万/月 " 做五休二 五险一金 带薪年假 绩效奖金 "
Python高级开发工程师 广州 "民营公司 " " 本科  5-7年" 1.5-2万/月 " 五险一金 员工旅游 年终奖金 绩效奖金 "
Python高级工程师 上海-浦东新区 "民营公司 " " 本科  3-4年" 1.5-2.5万/月 " 五险一金 交通补贴 餐饮补贴 通讯补贴 "
Python开发工程师 深圳-福田区 "民营公司 " " 本科  3-4年" 1.5-2.5万/月 " 五险一金 周末双休 带薪年假 节日福利 "
python高级开发工程师 深圳-南山区 "国企 " " 本科  3-4年" 2.5-3万/月 " 五险一金 带薪年假 节日福利 餐饮补贴 "
Python数据开发工程师 深圳-南山区 "民营公司 " " 本科  2年" 1.5-2.2万/月 " 五险一金 餐饮补贴 定期体检 员工旅游 "
Python开发工程师 上海-徐汇区 "上市公司 " " 本科  2年" 0.8-1万/月 " 五险一金 专业培训 带薪年假 餐饮补贴 "
"Python架构师01 (MJ000029)" 上海-徐汇区 "民营公司 " " 本科  2年" 2-3.5万/月 " 五险一金 员工旅游 专业培训 绩效奖金 "
Python开发工程师（RPA方向） 深圳-南山区 "民营公司 " " 本科  5-7年" 35-55万/年 " "
Python工程师 上海-长宁区 "民营公司 " " 本科  5-7年" 1.5-2.5万/月 " 餐饮补贴 全勤奖 绩效奖金 "
爬虫Python高级开发工程师 深圳-宝安区 "民营公司 " " 大专  3-4年" 1.5-2.5万/月 " 专业培训 出国机会 绩效奖金 年终奖金 "
集团事业部-Python开发工程师 深圳-龙华区 "民营公司 " " 本科  3-4年" 1.8-2.5万/月 " "
"Python 后端开发" 上海-浦东新区 "民营公司 " " 大专  3-4年" 0.8-1万/月 " 五险一金 员工旅游 定期体检 绩效奖金 "
python开发 上海-闵行区 "民营公司 " " 大专  3-4年" 1.5-2.5万/月 " 五险一金 员工旅游 餐饮补贴 交通补贴 "
Python开发工程师 广州-黄埔区 "民营公司 " " 大专  2年" 0.8-1万/月 " 员工旅游 绩效奖金 年终奖金 五险一金 "
Python研发工程师（跨境电商） 深圳-龙华区 "民营公司 " " 大专  3-4年" 1.5-2万/月 " 全勤奖 节日福利 带薪年假 五险一金 "
Python开发工程师-DT 上海-浦东新区 "民营公司 " " 本科  3-4年" 1.5-3万/月 " 五险一金 餐饮补贴 弹性工作 通讯补贴 "
Python研发工程师0431 上海-长宁区 "民营公司 " " 本科  3-4年" 2-2.5万/月 " 五险一金 弹性工作 年终奖金 定期体检 "
Python开发工程师 深圳-南山区 "民营公司 " " 本科  无需经验" 1.5-2.5万/月 " "
Python工程师 上海-闵行区 "合资 " " 本科  3-4年" 1.5-3万/月 " 五险一金 定期体检 免费班车 员工旅游 "
python后端研发工程师 北京-海淀区 "民营公司 " " 本科  3-4年" 1.8-2.5万/月 " 五险一金 绩效奖金 大牛带队 全额公积金 "
Python开发工程师 上海-浦东新区 "民营公司 " " 本科  5-7年" 1.5-2.2万/月 " 五险一金 免费班车 年终奖金 13薪 "
Python高级开发工程师 上海-嘉定区 "民营公司 " " 大专  3-4年" 1.5-2.5万/月 " 五险一金 员工旅游 专业培训 年终奖金 "
Python开发工程师 深圳-福田区 "民营公司 " " 本科  3-4年" 1.5-3万/月 " 带薪年假 五险一金 全勤奖 节日福利 "
"python 开发工程师" 深圳-南山区 "民营公司 " " 本科  2年" 1.5-2万/月 " 带薪年假 绩效奖金 节日福利 全勤奖 "
"后端Python 软件工程师" 广州 "民营公司 " " 本科  3-4年" 2-3万/月 " 五险一金 绩效奖金 年终奖金 "
Python开发工程师 广州-天河区 "民营公司 " " 本科  2年" 0.8-1万/月 " "
Python开发工程师 上海 "民营公司 " " 本科  3-4年" 1.5-2万/月 " 绩效奖金 年终奖金 股票期权 "
Python高级开发工程师（双休+六险一金+提供吃住） 广州-番禺区 "民营公司 " " 本科  3-4年" 1.5-2万/月 " 五险一金 免费体检 旅游 年终奖 "
服务端开发工程师-Python 上海-徐汇区 "上市公司 " " 本科  3-4年" 1.6-2.8万/月 " 五险一金 年终奖金 绩效奖金 "
python开发工程师 深圳-龙岗区 "外资（非欧美） " " 大专  3-4年" 2-3万/月 " 五险一金 员工旅游 年终奖金 绩效奖金 "
初级Python爬虫工程师 深圳-宝安区 "民营公司 " " 大专  无需经验" 0.8-1万/月 " 五险一金 交通补贴 绩效奖金 年终奖金 "
Python开发 上海-闵行区 "民营公司 " " 本科  5-7年" 20-30万/年 " "
"Python Developer - Cloud Execution Environment" 上海-长宁区 "外资（欧美） " " 本科  3-4年" 1.5-2万/月 " 五险一金 弹性工作 专业培训 "
"Python 开发" 上海-徐汇区 "外资（非欧美） " " 本科  2年" 3-4万/月 " 做五休二 五险一金 餐饮补贴 带薪年假 "
"ODOO/Python 开发工程师" 上海-浦东新区 "民营公司 " " 大专  2年" 0.8-1万/月 " 五险一金 年终奖金 专业培训 员工旅游 "
Python后端开发工程师 上海-徐汇区 "创业公司 " " 本科  1年" 1.5-2万/月 " 五险一金 专业培训 年终奖金 定期体检 "
Python工程师 上海-浦东新区 "民营公司 " " 本科  无需经验" 7-8千/月 " "
Python开发工程师（双休+近地铁） 广州-海珠区 "民营公司 " " 大专  2年" 1.5-2万/月 " "
python后端开发工程师 北京-海淀区 "民营公司 " " 本科  5-7年" 2.5-4.5万/月 " 五险一金 员工旅游 绩效奖金 餐饮补贴 "
"(物联网) Python高级工程师  月薪2-3万元" 上海 "民营公司 " " 大专  5-7年" 2-3万/月 " 五险一金 绩效奖金 交通补贴 餐饮补贴 "
"Python 开发工程师" 上海-普陀区 "民营公司 " " 本科  3-4年" 1.5-2万/月 " 五险一金 专业培训 绩效奖金 年终奖金 "
python开发工程师 北京-海淀区 "民营公司 " " 本科  3-4年" 1.5-3万/月 " 五险一金 补充医疗保险 员工旅游 专业培训 "
python爬虫工程师 上海-嘉定区 "民营公司 " " 本科  3-4年" 1.5-2.5万/月 " "
python工程师-通助部 上海-浦东新区 "国企 " " 本科  2年" 1.5-2万/月 " 弹性工作 职业前景 "
"Python Developer" 上海-普陀区 "外资（非欧美） " " 本科  3-4年" 1.5-2万/月 " 地铁口 弹性工作制 外企 "
Python开发工程师 上海 "民营公司 " " 本科  3-4年" 1.5-2万/月 " "
Python开发工程师 上海-嘉定区 "民营公司 " " 大专  3-4年" 2-2.7万/月 " 五险一金 绩效奖金 专业培训 年终奖金 "
Python开发工程师 北京-石景山区 "民营公司 " " 本科  5-7年" 2-2.5万/月 " 五险一金 餐饮补贴 通讯补贴 交通补贴 "
Python开发工程师 上海 "国企 " " 大专  3-4年" 2-3万/月 " "
Python 深圳 "民营公司 " " 本科  5-7年" 3-6万/月 " "
Python开发工程师 上海-浦东新区 "民营公司 " " 本科  3-4年" 30-48万/年 " 五险一金 绩效奖金 国定年假 弹性工作 "
Python开发工程师 广州-天河区 "民营公司 " " 大专  1年" 4.5-6千/月 " 五险 提成 全勤奖 绩效奖金 "
Python开发工程师（nlp） 上海-浦东新区 "国企 " " 本科  2年" 1.5-2万/月 " 五险一金 交通补贴 餐饮补贴 通讯补贴 "
Python开发工程师 上海-浦东新区 "民营公司 " " 本科  5-7年" 1.5-2万/月 " 五险一金 绩效奖金 年终奖金 定期体检 "
Python开发工程师 深圳-南山区 "民营公司 " " 本科  3-4年" 1.5-2.5万/月 " 五险一金 补充公积金 交通补贴 餐饮补贴 "
"Senior Developer - Innovation Solutions (Python)" 深圳 "外资（非欧美） " " 本科  无需经验" 3.5-5.5万/月 " 带薪年假 "
Python开发工程师 深圳-福田区 "民营公司 " " 大专  2年" 1.5-2万/月 " 五险一金 员工旅游 专业培训 出国机会 "
Python后端开发 上海-闵行区 "民营公司 " " 大专  3-4年" 1.6-2.5万/月 " 五险一金 弹性工作 员工旅游 年终奖金 "
Python后端工程师 深圳-南山区 "民营公司 " " 大专  1年" 0.8-1万/月 " 弹性工作 员工旅游 五险 "
Python后端高级开发工程师——抖音 北京 "民营公司 " " 本科  2年" 2.5-5万/月 " 下午茶 健身瑜伽 六险一金 五险一金 "
python开发助理/实习生 深圳-宝安区 "民营公司 " " 大专  无需经验" 0.8-1万/月 " 五险一金 员工旅游 绩效奖金 提供住宿 "
Python编程/乐高老师+均薪1W+福利齐全+就近 广州-海珠区 "外资（欧美） " " 本科  无需经验" 0.8-1万/月 " 弹性工作 带薪年假 五险一金 节日福利 "
python高级软件开发工程师 上海-闵行区 "民营公司 " " 本科  5-7年" 1.5-3.5万/月 " 五险一金 补充医疗保险 员工旅游 餐饮补贴 "
Python开发实习生 深圳-宝安区 "民营公司 " " 大专  无需经验" 4.5-6千/月 " 五险一金 绩效奖金 年终奖金 员工旅游 "
后端工程师（c/c++工程师/python） 上海-静安区 "合资 " " 本科  3-4年" 1.5-2万/月 " 五险一金 定期体检 带薪年假 节日福利 "
python高级爬虫工程师 深圳-罗湖区 "民营公司 " " 大专  3-4年" 2-3万/月 " 五险一金 绩效奖金 年终奖金 商业险 "
python开发助理/实习生 深圳-宝安区 "民营公司 " " 大专  无需经验" 6-8千/月 " 做五休二 周末双休 五险一金 带薪年假 "
Python开发工程师 北京-丰台区 "民营公司 " " 本科  3-4年" 1.5-2万/月 " 五险一金 员工旅游 餐饮补贴 年终奖金 "
Python开发工程师 上海-徐汇区 "民营公司 " " 本科  5-7年" 2-3万/月 " 六险一金 节日福利 加班补贴 弹性工作 "
Python/Odoo高级开发工程师 上海 "民营公司 " " 大专  3-4年" 1.5-2万/月 " 五险一金 员工旅游 交通补贴 通讯补贴 "
Python高级开发工程师 北京-海淀区 "外资（非欧美） " " 本科  3-4年" 1.5-2万/月 " 五险一金 补充医疗保险 专业培训 绩效奖金 "
Python高级开发工程师 上海-静安区 "民营公司 " " 本科  3-4年" 1.5-2.5万/月 " 五险一金 员工旅游 专业培训 通讯补贴 "
python开发工程师 上海-浦东新区 "民营公司 " " 大专  2年" 2-2.5万/月 " 绩效奖金 优秀员工奖励 "
python开发助理/实习生 深圳-光明区 "民营公司 " " 大专  无需经验" 6-8千/月 " "
Python爬虫工程师 北京-朝阳区 "外资（欧美） " " 本科  2年" 1.5-3万/月 " 五险一金 股票期权 年终奖金 "
"Python广告联盟后台功能开发高级工程师 20-30K" 广州-天河区 "民营公司 " " 本科  3-4年" 2.5-3万/月 " 五险一金 交通补贴 餐饮补贴 绩效奖金 "
Python开发工程师 北京 "外资（欧美） " " 大专  3-4年" 21-30万/年 " 五险一金 补充医疗保险 专业培训 定期体检 "
软件开发工程师（JAVA/Python/Golang方向） 深圳-福田区 "民营公司 " " 本科  3-4年" 2-2.5万/月 " 五险一金 年终奖金 餐饮补贴 弹性工作 "
Python开发工程师（中级） 广州 "民营公司 " " 大专  3-4年" 0.8-1万/月 " 五险一金 员工旅游 定期体检 专业培训 "
Python助理工程师 深圳-南山区 "民营公司 " " 大专  无需经验" 6-9千/月 " "
Python工程师 上海 "合资 " " 本科  2年" 1.5-2万/月 " 五险一金 交通补贴 餐饮补贴 通讯补贴 "
python助理工程师 深圳-宝安区 "民营公司 " " 本科  无需经验" 0.7-1万/月 " "
爬虫开发工程师（优先go，python，nodejs） 广州-天河区 "民营公司 " " 本科  3-4年" 1.5-3万/月 " "
Python开发助理（双休） 深圳-宝安区 "民营公司 " " 大专  无需经验" 7.5-8千/月 " 五险一金 交通补贴 餐饮补贴 通讯补贴 "
Python高级开发工程师 北京-海淀区 "民营公司 " " 硕士  3-4年" 1.5-2万/月 " 五险一金 交通补贴 餐饮补贴 通讯补贴 "
Python开发工程师 上海-普陀区 "民营公司 " " 大专  5-7年" 1.5-2.5万/月 " 五险一金 餐饮补贴 出国机会 年终奖金 "
python开发助理 深圳-南山区 "民营公司 " " 大专  无需经验" 6-8千/月 " 五险一金 绩效奖金 年终奖金 员工旅游 "
Python网络爬虫工程师（跨境电商） 深圳-龙华区 "民营公司 " " 大专  3-4年" 1.5-2.8万/月 " 绩效奖金 员工旅游 带薪年假 节日福利 "
Python开发工程师（自动化测试方向） 深圳-南山区 "上市公司 " " 大专  2年" 1.5-3万/月 " 五险一金 员工旅游 股票期权 绩效奖金 "
Python开发工程师 上海-松江区 "民营公司 " " 本科  3-4年" 1.5-2.5万/月 " 五险一金 年终奖金 全勤奖 绩效奖金 "
"全栈开发 （Java，python）" 上海 "外资（欧美） " " 本科  5-7年" 2-4万/月 " "
python老师/python讲师/少儿编程/课程研发+五险一金 广州-白云区 "民营公司 " " 大专  1年" 6-8千/月 " 带薪年假 五险一金 全勤奖 节日福利 "
python爬虫工程师 上海-闵行区 "民营公司 " " 本科  3-4年" 1.5-2.5万/月 " 绩效奖金 节日福利 专业培训 弹性工作 "
Python高级开发工程师 深圳-福田区 "民营公司 " " 大专  5-7年" 1.5-3万/月 " 五险一金 专业培训 周末双休 部门聚餐 "
Python开发工程师 深圳-南山区 "创业公司 " " 本科  3-4年" 1.5-3万/月 " 五险一金 带薪年假 周末双休 加班餐补 "
Python开发工程师 广州-荔湾区 "民营公司 " " 大专  2年" 0.8-1万/月 " 五险一金 绩效奖金 餐饮补贴 全勤奖 "
软件工程师（java/python） 北京-朝阳区 "民营公司 " " 本科  3-4年" 2-2.5万/月 " 五险一金 餐饮补贴 通讯补贴 交通补贴 "
Python开发工程师 广州-番禺区 "民营公司 " " 大专  1年" 6-8千/月 " 五险一金 补充医疗保险 员工旅游 年终奖金 "
python开发工程师 上海-普陀区 "民营公司 " " 大专  3-4年" 1.5-2.5万/月 " 餐饮补贴 定期体检 弹性工作 专业培训 "
Python开发工程师 上海 "民营公司 " " 本科  3-4年" 1.5-2.5万/月 " 五险一金 交通补贴 餐饮补贴 绩效奖金 "
Python数据工程师 上海-徐汇区 "合资 " " 本科  2年" 1.5-2万/月 " 五险一金 补充医疗保险 补充公积金 交通补贴 "
python爬虫工程师 深圳-福田区 "民营公司 " " 本科  5-7年" 1.5-2.5万/月 " 五险一金 绩效奖金 年终奖金 定期体检 "
"Python & C++ Developer" 上海-浦东新区 "外资（欧美） " " 本科  5-7年" 2-2.5万/月 " 五险一金 年终奖金 出国机会 补充医疗保险 "
"Python工程师 (MJ000993)" 深圳 "外资（欧美） " " 本科  3-4年" 1.5-3万/月 " 五险一金 年终奖金 弹性工作 绩效奖金 "
python爬虫工程师 上海-静安区 "外资（非欧美） " " 大专  3-4年" 1.5-2万/月 " "
python爬虫工程师（甲方+双休） 上海-浦东新区 "民营公司 " " 本科  3-4年" 1.5-2万/月 " 五险一金 补充医疗保险 绩效奖金 年终奖金 "
"Python Maintain Engineer" 上海 "民营公司 " " 本科  5-7年" 2.5-3万/月 " "
"高级Python工程师 /  爬虫" 深圳-福田区 "民营公司 " " 本科  1年" 2-2.5万/月 " 弹性工作 "
python开发 深圳-福田区 "民营公司 " " 本科  3-4年" 1.6-2.6万/月 " 五险一金 员工旅游 绩效奖金 全勤奖 "
"后端研发工程师 （python）架构" 北京-东城区 "民营公司 " " 本科  2年" 2.8-4万/月 " 五险一金 专业培训 做五休二 弹性工作 "
JAVA/Python开发工程师 北京-朝阳区 "合资 " " 本科  3-4年" 1.5-2.5万/月 " 五险一金 补充医疗保险 免费班车 专业培训 "
Python高级开发工程师 深圳-南山区 "民营公司 " " 本科  3-4年" 2-3.5万/月 " 五险一金 绩效奖金 股票期权 弹性工作 "
Python开发工程师 上海-长宁区 "上市公司 " " 大专  2年" 1.5-2万/月 " 做五休二 五险一金 绩效奖金 带薪年假 "
Python开发工程师 深圳-宝安区 "民营公司 " " 大专  1年" 0.8-1万/月 " 带薪年假 五险一金 绩效奖金 节日福利 "
Python-GO高级工程师 上海-闵行区 "民营公司 " " 本科  2年" 1.5-2.5万/月 " 五险一金 专业培训 "
Python高级开发工程师（数据处理） 上海-杨浦区 "创业公司 " " 本科  3-4年" 1.5-2.5万/月 " 五险一金 餐饮补贴 弹性工作 定期体检 "
Python开发工程师 深圳 "民营公司 " " 本科  1年" 1.5-2万/月 " 专业培训 五险一金 绩效奖金 年终奖金 "
Python高级开发工程师 温州-鹿城区 "民营公司 " " 大专  2年" 0.7-1万/月 " 员工旅游 通讯补贴 年终奖金 "
python开发工程师 青岛-李沧区 "民营公司 " " 大专  无需经验" 6-8千/月 " 做五休二 弹性工作 带薪年假 五险一金 "
Python开发工程师 哈尔滨-南岗区 "民营公司 " " 本科  2年" 0.5-1万/月 " 五险一金 交通补贴 餐饮补贴 弹性工作 "
python开发助理 成都-高新区 "民营公司 " " 大专  无需经验" 4-6千/月 " "
Python开发工程师助理 哈尔滨-南岗区 "民营公司 " " 无需经验" 6-8千/月 " 五险一金 交通补贴 绩效奖金 年终奖金 "
python数据分析工程师 襄阳 "民营公司 " " 本科  3-4年" 0.6-1万/月 " 五险一金 员工旅游 年终奖金 "
Python开发工程师 南京-栖霞区 "民营公司 " " 大专  3-4年" 1.5-2万/月 " 五险一金 节日福利 餐饮补贴 年终奖金 "
Python算法工程师双休 成都-武侯区 "民营公司 " " 大专  3-4年" 1.5-2.5万/月 " 五险一金 弹性工作 专业培训 年终奖金 "
Python开发工程师 成都-青羊区 "民营公司 " " 本科  1年" 0.7-1万/月 " 五险一金 年终奖金 定期体检 周末双休 "
Python开发工程师 武汉 "上市公司 " " 大专  2年" 7-9千/月 " 五险一金 绩效奖金 年终奖金 补充医疗保险 "
"python 爬虫工程师" 保定 "民营公司 " " 大专  2年" 0.5-1万/月 " 做五休二 周末双休 带薪年假 五险一金 "
Python开发工程师 昆明-盘龙区 "国企 " " 本科  1年" 6-8千/月 " 五险一金 员工旅游 专业培训 年终奖金 "
python爬虫工程师 南昌-东湖区 "民营公司 " " 大专  1年" 0.5-1万/月 " 五险一金 节日福利 周末双休 加班补贴 "
Python开发工程师 南京 "民营公司 " " 大专  1年" 0.8-1万/月 " 五险一金 绩效奖金 年终奖金 交通补贴 "
Python开发工程师 青岛-高新区 "民营公司 " " 本科  无需经验" 4-7千/月 " 五险一金 员工旅游 周末双休 法定节假日 "
Python开发工程师 西安 "合资 " " 大专  无需经验" 6-8千/月 " 五险一金 员工旅游 绩效奖金 年终奖金 "
python实习生可转正 大连-高新园区 "民营公司 " " 大专  无需经验" 4-6千/月 " "
python实习生可转正 大连-高新园区 "外资（非欧美） " " 大专  无需经验" 4-6千/月 " "
Python开发工程师 苏州-工业园区 "民营公司 " " 本科  3-4年" 1.5-2万/月 " 五险一金 补充医疗保险 补充公积金 交通补贴 "
Python开发工程师 珠海-珠海高新区 "创业公司 " " 大专  1年" 0.8-1万/月 " "
Python开发工程师 天津-南开区 "民营公司 " " 本科  2年" 6-8千/月 " 五险一金 绩效奖金 弹性工作 节日福利 "
python后端开发 杭州-余杭区 "民营公司 " " 本科  3-4年" 1.5-2.5万/月 " 五险一金 员工旅游 交通补贴 餐饮补贴 "
Python开发工程师 宁波-海曙区 "民营公司 " " 本科  3-4年" 1.5-2万/月 " 周末双休 带薪年假 五险一金 包吃 "
Python开发工程师 郑州-金水区 "民营公司 " " 大专  无需经验" 6-9千/月 " 五险一金 绩效奖金 年终奖金 定期体检 "
Python开发工程师（双休五险包吃住）C 廊坊 "合资 " " 大专  无需经验" 6-8千/月 " "
python爬虫工程师 成都-武侯区 "民营公司 " " 本科  3-4年" 0.8-1万/月 " "
Python开发工程师 南昌-红谷滩新区 "合资 " " 大专  2年" 0.8-1万/月 " 五险一金 绩效奖金 年终奖金 定期体检 "
Python开发工程师 东莞-长安镇 "民营公司 " " 大专  3-4年" 1.5-2.5万/月 " 五险一金 免费班车 "
Python开发工程师 温州-龙湾区 "民营公司 " " 本科  3-4年" 0.8-1万/月 " 五险一金 员工旅游 专业培训 定期体检 "
Python后端开发工程师 珠海-香洲区 "外资（非欧美） " " 本科  3-4年" 1.8-2.5万/月 " 五险一金 绩效奖金 弹性工作 "
Python开发工程师 杭州-滨江区 "民营公司 " " 本科  3-4年" 2-2.5万/月 " 五险一金 周末双休 年终奖金 "
Python开发工程师 武汉-洪山区 "民营公司 " " 大专  1年" 6-8千/月 " 五险一金 餐饮补贴 绩效奖金 年终奖金 "
Python开发工程师 苏州 "民营公司 " " 本科  3-4年" 1.5-2.5万/月 " 五险一金 员工旅游 年终奖金 绩效奖金 "
高级Python开发工程师(J10353) 长沙-岳麓区 "民营公司 " " 本科  3-4年" 1.8-3万/月 " 五险一金 年终奖金 股票期权 定期体检 "
软件开发工程师（C++/Python） 南京-雨花台区 "合资 " " 硕士  3-4年" 2-3万/月 " 五险一金 年终奖金 股票期权 绩效奖金 "
python后端开发工程师 杭州-上城区 "民营公司 " " 本科  3-4年" 1.5-2.5万/月 " 五险一金 补充医疗保险 定期体检 "
Python人工智能 杭州-滨江区 "民营公司 " " 大专  1年" 6-8千/月 " 五险一金 员工旅游 交通补贴 餐饮补贴 "
Python软件开发工程师 南京-江宁区 "民营公司 " " 本科  3-4年" 1.5-2.5万/月 " 五险一金 周末双休 "
Python开发工程师 杭州-滨江区 "上市公司 " " 本科  3-4年" 1.5-2万/月 " 五险一金 餐饮补贴 专业培训 绩效奖金 "
Python开发初级工程师 成都-高新区 "民营公司 " " 大专  1年" 4-6千/月 " "
Python开发工程师 武汉-东湖新技术产业开发区 "民营公司 " " 大专  2年" 6-8千/月 " 五险一金 定期体检 餐饮补贴 节日福利 "
Python开发工程师 南宁 "民营公司 " " 本科  5-7年" 0.7-1万/月 " 交通补贴 餐饮补贴 年终奖金 "
Python开发工程师 无锡-滨湖区 "民营公司 " " 本科  无需经验" 0.5-1万/月 " 五险一金 员工旅游 餐饮补贴 年终奖金 "
中高级Python开发工程师 南京-江宁区 "民营公司 " " 本科  3-4年" 1.5-2万/月 " 五险一金 补充医疗保险 员工旅游 交通补贴 "
"python web开发讲师" 长沙-岳麓区 "民营公司 " " 大专  5-7年" 1.5-2.5万/月 " 专业培训 绩效奖金 节日福利 五险一金 "
Python开发工程师 厦门-思明区 "民营公司 " " 大专  3-4年" 1.5-2万/月 " 五险一金 员工旅游 绩效奖金 年终奖金 "
Python初级开发工程师 重庆-渝北区 "国企 " " 本科  1年" 6-8千/月 " 年终奖金 绩效奖金 定期体检 专业培训 "
Python开发工程师HD 南京 "上市公司 " " 大专  3-4年" 1.5-3万/月 " 五险一金 补充医疗保险 补充公积金 专业培训 "
Python高级开发工程师 苏州-工业园区 "外资（欧美） " " 本科  5-7年" 2-3万/月 " "
Python开发工程师 苏州-高新区 "民营公司 " " 大专  3-4年" 1.5-2万/月 " 带薪年假 绩效奖金 节日福利 专业培训 "
Python高级开发工程师 苏州-工业园区 "民营公司 " " 本科  3-4年" 1.5-2万/月 " 五险一金 员工旅游 交通补贴 餐饮补贴 "
"python开发  初级" 天津-滨海新区 "民营公司 " " 本科  2年" 7-9千/月 " "
Python开发工程师 杭州-萧山区 "民营公司 " " 大专  无需经验" 0.6-1万/月 " 五险一金 专业培训 弹性工作 年终奖金 "
软件开发工程师（python） 武汉-洪山区 "合资 " " 大专  2年" 0.6-1万/月 " 五险一金 项目奖金 餐饮补贴 通讯补贴 "
Python开发工程师 武汉 "民营公司 " " 大专  3-4年" 0.7-1万/月 " 带薪年假 绩效奖金 节日福利 专业培训 "
Python高级开发工程师 南京-秦淮区 "民营公司 " " 本科  3-4年" 2-2.5万/月 " 五险一金 餐饮补贴 专业培训 年终奖金 "
Python开发工程师 长沙-岳麓区 "民营公司 " " 本科  2年" 0.6-1万/月 " "
Python开发工程师 襄阳 "民营公司 " " 大专  1年" 6-8千/月 " 五险一金 员工旅游 绩效奖金 年终奖金 "
Python开发工程师 济南-历下区 "民营公司 " " 大专  1年" 6-8千/月 " "
数据开发-python（WHY1106） 武汉-东湖新技术产业开发区 "民营公司 " " 本科  3-4年" 1.5-2万/月 " "
Python开发工程师 重庆-渝中区 "民营公司 " " 本科  1年" 0.5-1万/月 " 餐饮补贴 年终奖金 五险 "
Python开发工程师 天津-西青区 "民营公司 " " 本科  无需经验" 5-8千/月 " 五险一金 弹性工作 年终奖金 "
Python开发工程师 铜陵 "民营公司 " " 本科  1年" 6-8千/月 " 五险一金 员工旅游 餐饮补贴 专业培训 "
Python开发工程师 苏州-工业园区 "民营公司 " " 大专  3-4年" 1.5-2.5万/月 " 五险一金 加班费 专业培训 绩效奖金 "
Python工程师 重庆-渝北区 "民营公司 " " 大专  1年" 0.6-1万/月 " 餐饮补贴 年终奖金 周末双休 五险一金 "
Python开发工程师 合肥-经开区 "民营公司 " " 本科  2年" 4.5-8千/月 " "
Python开发工程师—Django方向 武汉-东湖新技术产业开发区 "民营公司 " " 大专  2年" 0.8-1万/月 " 五险一金 双休 无出差 十三薪 "
